t,xPos,yPos,zPos,pitch,yaw,vel,gamma,acc
0.0,1923.67,25839.54,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.033366700033365504,1923.67,25839.54,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.06673340006673101,1923.67,25839.54,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.10010010010009651,1923.92,25776.31,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.13346680013346202,1923.92,25776.31,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.16683350016682752,1924.22,25704.39,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.20020020020019302,1924.47,25635.88,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.23356690023355853,1924.85,25540.0,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.26693360026692403,1924.99,25507.07,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.30030030030028954,1925.23,25443.29,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.33366700033365504,1925.46,25383.21,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.36703370036702054,1925.67,25331.91,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.40040040040038605,1925.94,25264.74,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.43376710043375155,1926.21,25199.17,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.46713380046711706,1926.44,25136.12,23505.45,-29.38,-86.22,0.0,-4.660505069776274e-13,0.0
0.5005005005004826,1926.9,25021.14,23505.45,-29.38,-86.22,0.0,6.871899003877804e-12,0.0
0.5338672005338481,1927.13,24964.17,23505.45,-29.38,-86.22,0.0,6.765579605634552e-12,0.0
0.5672339005672136,1927.35,24909.91,23505.45,-29.38,-86.22,0.0,6.694581322131008e-12,0.0
0.6006006006005791,1927.57,24850.8,23505.45,-29.38,-86.22,0.0,-0.007577396619169853,0.0
0.6339673006339446,1927.82,24785.74,23505.45,-29.38,-86.22,0.0,-0.018166912643766093,0.0
0.6673340006673101,1928.11,24715.98,23505.45,-29.38,-86.22,0.0,-0.03135726586138651,0.0
0.7007007007006756,1928.35,24656.28,23505.45,-29.38,-86.22,0.0,-0.04683596156991389,0.0
0.7340674007340411,1928.61,24591.54,23505.45,-29.38,-86.22,0.0,-0.06389122061474777,0.0
0.7674341007674066,1929.07,24470.67,23505.45,-29.38,-86.22,0.0,-0.08037619288512125,0.0
0.8008008008007721,1929.3,24413.72,23505.45,-29.38,-86.22,0.0,-0.09647660952232939,0.0
0.8341675008341376,1929.54,24354.53,23505.45,-29.38,-86.22,0.0,-0.11128157502910054,0.0
0.8675342008675031,1929.79,24292.52,23505.45,-29.38,-86.22,0.0,-0.1241508874460045,0.0
0.9009009009008686,1930.02,24233.04,23505.45,-29.38,-86.22,0.0,-0.13590374083039508,0.0
0.9342676009342341,1930.25,24172.38,23505.45,-29.38,-86.22,0.0,-0.14602142204432522,0.0
0.9676343009675996,1930.5,24112.35,23505.45,-29.38,-86.22,0.0,-0.15486960598154356,0.0
1.0010010010009651,1930.87,24019.19,23505.45,-29.38,-86.22,0.0,-0.16270975826522005,0.0
1.0343677010343306,1930.99,23989.25,23505.45,-29.38,-86.22,0.0,-0.16969334641569833,0.0
1.0677344010676961,1931.26,23918.52,23505.45,-29.38,-86.22,0.0,-0.17564404259155306,0.0
1.1011011011010616,1929.28,23793.98,23503.99,-31.32,-89.47,0.0,-0.18006495769213726,0.0
1.1344678011344271,1928.35,23734.34,23503.28,-32.29,-91.06,0.0,-0.18301134993813695,0.0
