t,xPos,yPos,zPos,pitch,yaw,vel,gamma,acc
0.0,3128.67,5308.15,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.033366700033365504,3128.67,5308.15,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.06673340006673101,3128.88,5255.76,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.10010010010009651,3128.97,5234.22,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.13346680013346202,3129.2,5176.73,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.16683350016682752,3129.39,5126.06,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.20020020020019302,3129.57,5078.15,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.23356690023355853,3129.91,4994.62,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.26693360026692403,3130.21,4916.22,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.30030030030028954,3130.31,4889.34,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.33366700033365504,3130.52,4837.61,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.36703370036702054,3130.84,4756.53,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.40040040040038605,3131.09,4689.72,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.43376710043375155,3131.37,4621.0,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.46713380046711706,3131.63,4554.18,23508.63,-25.29,-67.87,0.0,-3.345961614644801e-13,0.0
0.5005005005004826,3132.08,4437.32,23508.63,-25.29,-67.87,0.0,6.988471848677694e-12,0.0
0.5338672005338481,3132.38,4362.48,23508.63,-25.29,-67.87,0.0,6.870239363373411e-12,0.0
0.5672339005672136,3132.49,4331.83,23508.63,-25.29,-67.87,0.0,6.8058229065758155e-12,0.0
0.6006006006005791,3132.76,4262.6,23508.63,-25.29,-67.87,0.0,6.742500805266857e-12,0.0
0.6339673006339446,3133.05,4190.57,23508.63,-25.29,-67.87,0.0,6.716045685357707e-12,0.0
0.6673340006673101,3133.05,4190.57,23508.63,-25.29,-67.87,0.0,6.687955055388488e-12,0.0
0.7007007007006756,3133.32,4118.86,23508.63,-25.29,-67.87,0.0,6.671848387315019e-12,0.0
0.7340674007340411,3133.61,4046.88,23508.63,-25.29,-67.87,0.0,6.6779295310562054e-12,0.0
0.7674341007674066,3133.89,3975.94,23508.63,-25.29,-67.87,0.0,6.670835513515104e-12,0.0
0.8008008008007721,3134.16,3903.68,23508.63,-25.29,-67.87,0.0,6.668597538296917e-12,0.0
0.8341675008341376,3134.4,3838.96,23508.63,-25.29,-67.87,0.0,6.6899557690997e-12,0.0
0.8675342008675031,3134.7,3761.21,23508.63,-25.29,-67.87,0.0,6.717557628752622e-12,0.0
0.9009009009008686,3135.17,3643.47,23508.63,-25.29,-67.87,0.0,6.7327581949581935e-12,0.0
0.9342676009342341,3135.35,3595.73,23508.63,-25.29,-67.87,0.0,6.7425610294724194e-12,0.0
0.9676343009675996,3135.63,3524.91,23508.63,-25.29,-67.87,0.0,6.747214609350937e-12,0.0
1.0010010010009651,3135.91,3452.89,23508.63,-25.29,-67.87,0.0,6.7476004179050856e-12,0.0
1.0343677010343306,3136.19,3381.31,23508.63,-25.29,-67.87,0.0,6.711847509537824e-12,0.0
1.0677344010676961,3136.38,3333.16,23508.63,-25.29,-67.87,0.0,6.665563408141418e-12,0.0
